PLAYER,TEAM,G,FPTS,SNAPS,PACE,PLY ACT%,SHT GUN%,IN PKT%,SCRMB%,EPA/PLY,DESIGN RUNS
"Josh Allen","Buffalo Bills",17,410.6,1081,35.8,0.231,0.88,0.763,0.072,0.07,52
"Jalen Hurts","Philadelphia Eagles",17,371.8,1069,36.4,0.247,0.994,0.745,0.074,0.02,100
"Dak Prescott","Dallas Cowboys",17,351.8,1060,34.1,0.302,0.816,0.813,0.041,0.13,14
"Lamar Jackson","Baltimore Ravens",16,338.2,992,36.2,0.246,0.939,0.756,0.113,0.05,72
"Jordan Love","Green Bay Packers",17,330.1,1044,36.3,0.242,0.819,0.865,0.035,0.07,14
"Brock Purdy","San Francisco 49ers",16,306.6,899,38.3,0.213,0.804,0.804,0.035,0.23,9
"Jared Goff","Detroit Lions",17,303.1,1137,35,0.252,0.741,0.903,0.011,0.04,4
"Patrick Mahomes","Kansas City Chiefs",16,294.2,1000,35.3,0.197,0.91,0.769,0.076,0.03,1
"Tua Tagovailoa","Miami Dolphins",17,284.4,1004,36.5,0.322,0.929,0.858,0.026,0.09,1
"Baker Mayfield","Tampa Bay Buccaneers",17,284.1,1048,35.6,0.252,0.861,0.871,0.046,0.01,10
"C.J. Stroud","Houston Texans",15,281,934,34.8,0.234,0.789,0.779,0.041,0.06,10
"Trevor Lawrence","Jacksonville Jaguars",16,278.5,1005,36.4,0.222,0.919,0.811,0.064,-0.06,16
"Sam Howell","Seattle Seahawks",17,276.5,1021,37.2,0.19,0.937,0.792,0.046,-0.15,8
"Russell Wilson","Pittsburgh Steelers",15,264.9,892,35.9,0.222,0.786,0.712,0.068,-0.11,29
"Matthew Stafford","Los Angeles Rams",15,254.1,959,35.9,0.202,0.816,0.864,0.025,0.04,2
"Derek Carr","New Orleans Saints",17,249.1,952,33.5,0.163,0.825,0.881,0.015,0.02,4
"Justin Herbert","Los Angeles Chargers",13,241.2,800,34.2,0.242,0.909,0.812,0.062,0,9
"Justin Fields","Pittsburgh Steelers",13,237.2,803,37.8,0.239,0.919,0.697,0.092,-0.1,71
"Geno Smith","Seattle Seahawks",15,236.3,858,34.2,0.25,0.847,0.84,0.035,0.02,8
"Joshua Dobbs","San Francisco 49ers",13,210.7,809,34.9,0.234,0.813,0.774,0.073,-0.13,32
"Gardner Minshew","Las Vegas Raiders",16,205.2,932,35,0.273,0.965,0.824,0.039,-0.06,2
"Desmond Ridder","Arizona Cardinals",15,187.1,822,33.7,0.294,0.859,0.813,0.046,-0.06,19
"Bryce Young","Carolina Panthers",16,166.4,1020,36.4,0.163,0.942,0.803,0.05,-0.28,2
"Kirk Cousins","Atlanta Falcons",8,158.7,486,34.1,0.308,0.683,0.909,0.009,0.01,8
"Joe Burrow","Cincinnati Bengals",10,153.2,580,38,0.196,0.97,0.883,0.035,-0.05,4
"Kyler Murray","Arizona Cardinals",8,151.4,516,35.2,0.212,0.877,0.828,0.053,0.01,20
"Jake Browning","Cincinnati Bengals",9,151.4,453,38.6,0.201,0.883,0.827,0.057,0.03,7
"Aidan O'Connell","Las Vegas Raiders",11,132.8,627,36.6,0.229,0.79,0.926,0,-0.09,10
"Zach Wilson","Denver Broncos",12,126.9,660,35.5,0.207,0.774,0.804,0.057,-0.25,3
"Mac Jones","Jacksonville Jaguars",11,120.4,614,32.8,0.193,0.823,0.897,0.032,-0.21,9
"Kenny Pickett","Philadelphia Eagles",12,114.2,643,35.9,0.155,0.892,0.765,0.039,-0.11,9
"Joe Flacco","Indianapolis Colts",5,108.8,334,37.2,0.311,0.731,0.84,0,-0.11,2
"Will Levis","Tennessee Titans",9,108,507,37.5,0.281,0.791,0.853,0.031,-0.13,4
"Tommy DeVito","New York Giants",9,96.5,395,35.2,0.156,0.903,0.722,0.093,-0.28,10
"Deshaun Watson","Cleveland Browns",6,90.8,370,36.5,0.244,0.829,0.712,0.083,-0.15,8
"Tyrod Taylor","New York Jets",11,90.3,352,31.8,0.197,0.803,0.713,0.117,-0.04,7
"Ryan Tannehill","",10,87,477,37.5,0.267,0.789,0.867,0.03,-0.12,3
"Bailey Zappe","New England Patriots",10,78.2,405,37.4,0.194,0.789,0.85,0.04,-0.38,6
"Nick Mullens","Minnesota Vikings",5,74.7,235,34.4,0.345,0.703,0.861,0.03,0.07,5
"Anthony Richardson","Indianapolis Colts",4,73.7,164,32.3,0.245,0.969,0.745,0.071,0.01,16
"Jimmy Garoppolo","Los Angeles Rams",7,73.1,312,37.1,0.183,0.738,0.859,0.042,-0.13,5
"Taylor Heinicke","Atlanta Falcons",5,70,265,31.7,0.223,0.93,0.822,0.083,0,0
"Easton Stick","Los Angeles Chargers",5,68.6,306,31.5,0.234,0.949,0.863,0.046,-0.17,17
"Daniel Jones","New York Giants",6,63,314,33.4,0.3,0.843,0.748,0.095,-0.27,18
"Tyson Bagent","Chicago Bears",5,59.3,294,35.9,0.22,0.855,0.767,0.069,-0.14,9
"Mitch Trubisky","Buffalo Bills",5,53.7,192,33.7,0.107,0.934,0.844,0.066,-0.19,5
"Mason Rudolph","Tennessee Titans",4,39.6,197,36.9,0.183,0.89,0.878,0.024,0.09,4
"Drew Lock","New York Giants",4,32.1,140,36.1,0.247,0.859,0.812,0.035,-0.1,1
"Trevor Siemian","",5,31,272,33.1,0.15,0.856,0.85,0.036,-0.36,3
"Jarrett Stidham","Denver Broncos",3,27.6,130,39,0.197,0.803,0.829,0.039,0.05,2
"Carson Wentz","Kansas City Chiefs",2,27.1,66,38.8,0.2,0.8,0.767,0.133,0.13,12
"Dorian Thompson-Robinson","Cleveland Browns",8,26.1,206,34.3,0.179,0.911,0.846,0.041,-0.35,7
"Tyler Huntley","Cleveland Browns",5,25.6,86,37.1,0.125,0.979,0.729,0.146,-0.01,4
"P.J. Walker","Seattle Seahawks",6,25,232,34.7,0.222,0.81,0.841,0.032,-0.29,4
"Sam Darnold","Minnesota Vikings",10,24.4,125,33.9,0.2,0.818,0.855,0.055,-0.13,4
"Andy Dalton","Carolina Panthers",3,23.6,77,31.5,0.048,0.952,0.903,0.016,0.03,2
"Jacoby Brissett","New England Patriots",3,22.9,42,35.6,0.16,0.88,0.84,0.08,0.57,1
"C.J. Beathard","Jacksonville Jaguars",7,21.5,108,32.5,0.095,0.952,0.857,0.063,0.01,0
"Davis Mills","Houston Texans",6,17.8,52,26.9,0.071,0.976,0.786,0.024,-0.23,1
"Jeff Driskel","Washington Commanders",1,15.9,53,42.4,0.219,0.781,0.813,0.094,-0.24,3
"Jameis Winston","Cleveland Browns",7,15,73,32.3,0.041,0.98,0.939,0,-0.27,0
"Tim Boyle","Houston Texans",3,14.9,119,33,0.186,0.837,0.884,0,-0.45,3
"Marcus Mariota","Washington Commanders",3,12.8,44,33.1,0.214,1,0.679,0.071,-0.21,6
"Case Keenum","Houston Texans",2,12.7,103,35.4,0.237,0.797,0.814,0,-0.34,1
"Clayton Tune","Arizona Cardinals",7,9.5,57,31,0.182,0.879,0.727,0.152,-0.98,2
"Blaine Gabbert","",2,8.9,78,38.1,0.225,0.875,0.85,0.1,-0.26,0
"Brian Hoyer","",3,6.9,74,37.7,0.209,0.698,1,0,-0.24,0
"Cooper Rush","Dallas Cowboys",7,4.3,66,41.1,0.24,0.8,0.96,0,-0.18,1
"Brett Rypien","Chicago Bears",2,3.8,75,33.7,0.14,0.837,0.791,0.07,-0.43,0
"Jaren Hall","Minnesota Vikings",3,3.1,46,38.8,0.296,0.741,0.63,0.111,-0.6,0
"Mike White","Miami Dolphins",6,3.1,51,38,0,1,1,0,-1,0
"Malik Willis","Tennessee Titans",3,3.1,18,35.3,0.083,0.917,0.583,0.25,0.04,1
"Sean Clifford","Green Bay Packers",2,1.3,13,40.7,1,1,1,0,3.11,0
"AJ McCarron","",2,0.8,16,38,0.167,0.833,0.833,0,-0.95,0
"Logan Woodside","Cincinnati Bengals",1,0.7,10,31,0.333,1,0.667,0.167,-1.33,0
